seq_name	Preferred_date	Region_std
Z-18-224	28-Oct-18	R13
Z-18-251	7-Dec-18	R4
Z-19-029	26-Feb-19	R4
Z-19-123	11-Aug-19	R4
Z-19-136	5-Sep-19	R4
Z-19-88	31-May-19	R4
Z-20-01	3-Jan-20	R4
Z-20-110	23-Oct-20	R4
Z-20-24	14-Feb-20	R13
Z-20-33	18-Feb-20	R13
Z-20-51	2-Mar-20	R4
Z-22-103	21-Nov-22	R17
Z-22-119	28-Dec-22	R17
Z-22-121	19-Dec-22	R17
Z-23-01	3-Jan-23	R4
Z-23-01Sa	3-Jan-23	R4
Z-98-1061	5-Aug-98	R4
Z-98-285	18-Mar-98	R4
Z-98-286	19-Mar-98	R4
Z-98-433	30-Apr-98	R4
Z-98-454	4-May-98	R13
Z-98-515	20-May-98	R13
Z-98-616	18-Jun-98	R3
Z-98-718	13-Jul-98	R4
Z-98-780	25-Jul-98	R4
Z-98-838	9-Aug-98	R13
Z-98-860	14-Aug-98	R4
RADDL1-16-154	21-Jul-16	R1
RADDL3-1038	22-Oct-15	R3
REGION_5_2018-50	20-Dec-18	R5
REGION_5_2018-100	27-Mar-18	R5
REGION_5_2018-304	25-Oct-18	R5
REGION_5_2018-311	13-Nov-18	R5
REGION_5_2019-1	20-Mar-19	R5
REGION_5_2019-13	17-Jan-19	R5
Z-12-001	20-Jan-12	R4
Z-12-088	29-Mar-12	R13
Z-12-118	31-May-12	R4
Z-12-134	18-Jun-12	R4
Z-12-212	20-Apr-12	R4
Z-13-002	20-Feb-13	R13
Z-13-009	19-Jan-13	R4
Z-14-138	16-Jun-14	R13
Z-14-146	26-Jun-14	R4
Z-14-149	28-Jun-14	R4
Z-14-152	20-Feb-14	R13
Z-15-019	28-Jan-15	R13
Z-15-116	17-Jun-15	R4
Z-15-130	20-Jun-15	R4
Z-15-148	20-Apr-15	R13
Z-15-185	18-Oct-15	R13
Z-16-013	16-Jan-16	R4
Z-16-159	20-Dec-16	R4
Z-16-186	20-Mar-16	R4
