#node	date	numeric date
OR971438	2021-10-25	2021.815068
NODE_0000641	2019-12-06	2019.930841
OR971350	2020-02-05	2020.096995
OR971362	2022-06-13	2022.447945
NODE_0000643	2020-03-31	2020.247268
OR971352	2020-06-15	2020.454918
OR971351	2020-03-31	2020.247268
NODE_0000404	2019-12-19	2019.965317
NODE_0000635	2021-09-09	2021.689041
OR971425	2021-09-09	2021.689041
R3-0483	2022-01-01	2022.001370
NODE_0000412	2019-12-19	2019.965317
NODE_0000640	2021-06-05	2021.426173
OR971374	2022-08-26	2022.650685
OR971366	2022-08-05	2022.593151
NODE_0000638	2021-02-11	2021.113699
OR971379	2022-09-23	2022.727397
OR971359	2021-02-11	2021.113699
NODE_0000600	2010-07-30	2010.577154
NODE_0000601	2010-09-03	2010.671540
RADDL3-15-172	2015-02-12	2015.116438
NODE_0000602	2010-10-03	2010.755684
NODE_0000603	2010-12-25	2010.982094
Z-12-001	2012-01-20	2012.053279
Z-12-060	2012-02-25	2012.151639
NODE_0000604	2012-02-28	2012.159588
Z-12-208	2012-10-02	2012.752732
NODE_0000605	2013-04-22	2013.304365
OR971454	2019-10-24	2019.812329
NODE_0000606	2014-01-31	2014.083562
Z-14-033	2014-02-07	2014.102740
Z-14-023	2014-01-31	2014.083562
NODE_0000607	2014-04-22	2014.304992
NODE_0000608	2015-11-10	2015.857711
